CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;18799;01/03/2017;R$ 3,00;R$ 0,01;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;18800;01/03/2017;R$ 15,96;R$ 0,07;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;18889;01/03/2017;R$ 4,99;R$ 0,02;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;18890;01/03/2017;R$ 3,55;R$ 0,01;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);31706;01/03/2017;R$ 4,64;R$ 0,05;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79980;01/03/2017;R$ 16,50;R$ 0,01;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79874;01/03/2017;R$ 21,50;R$ 0,01;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);45093;01/03/2017;R$ 1,99;R$ 0,02;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);30983;01/03/2017;R$ 17,50;R$ 0,19;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);11152;01/03/2017;R$ 51,16;R$ 0,56;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);35921;01/03/2017;R$ 37,58;R$ 0,41;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42115;01/03/2017;R$ 30,12;R$ 0,34;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);45130;01/03/2017;R$ 4,59;R$ 0,05;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);32643;01/03/2017;R$ 35,64;R$ 0,40;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);11165;01/03/2017;R$ 24,17;R$ 0,26;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);35925;01/03/2017;R$ 3,34;R$ 0,03;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);35976;01/03/2017;R$ 9,62;R$ 0,10;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);25778;01/03/2017;R$ 31,14;R$ 0,34;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;79897;01/03/2017;R$ 54,50;R$ 0,05;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);25747;01/03/2017;R$ 5,38;R$ 0,05;CALCULADO
