CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
81.210.825/0001-32;SVD SUPERMERCADO LTDA;19364;01/03/2017;R$ 2,08;R$ 0,00;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);27984;01/03/2017;R$ 7,75;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28005;01/03/2017;R$ 25,50;R$ 0,13;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28098;01/03/2017;R$ 8,50;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28096;01/03/2017;R$ 15,50;R$ 0,08;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);30117;01/03/2017;R$ 67,40;R$ 0,34;CALCULADO
19.314.389/0001-78;OJAIMI E OJAIMI COM. DE REF. LTDA;236;01/03/2017;R$ 23,53;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38683;01/03/2017;R$ 32,88;R$ 0,42;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44344;01/03/2017;R$ 31,37;R$ 0,40;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);34542;01/03/2017;R$ 17,00;R$ 0,21;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28117;01/03/2017;R$ 7,50;R$ 0,03;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38171;01/03/2017;R$ 68,87;R$ 0,88;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28078;01/03/2017;R$ 7,75;R$ 0,04;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);15454;01/03/2017;R$ 1,99;R$ 0,01;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);37856;01/03/2017;R$ 10,44;R$ 0,13;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);15911;01/03/2017;R$ 3,00;R$ 0,03;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44347;01/03/2017;R$ 15,27;R$ 0,19;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);44345;01/03/2017;R$ 44,76;R$ 0,57;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38656;01/03/2017;R$ 51,13;R$ 0,65;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);38185;01/03/2017;R$ 21,09;R$ 0,26;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);28050;01/03/2017;R$ 1,62;R$ 0,00;CALCULADO
