CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);31101;02/03/2017;R$ 23,22;R$ 0,25;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);25922;02/03/2017;R$ 113,10;R$ 1,25;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);40671;02/03/2017;R$ 50,26;R$ 0,56;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);48710;02/03/2017;R$ 14,20;R$ 0,15;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);36620;02/03/2017;R$ 4,10;R$ 0,04;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);41771;02/03/2017;R$ 80,88;R$ 0,89;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);25918;02/03/2017;R$ 69,60;R$ 0,77;CALCULADO
76.430.438/0038-63;IRMAOS MUFFATO E CIA LTDA;11107;02/03/2017;R$ 76,60;R$ 0,02;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19010;02/03/2017;R$ 4,70;R$ 0,02;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19005;02/03/2017;R$ 6,69;R$ 0,03;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19025;02/03/2017;R$ 5,90;R$ 0,02;CALCULADO
13.574.594/0511-81;BK BRASIL OPERACAO E ASSESSORIA A RESTAURANTES S/A;108469;02/03/2017;R$ 22,90;R$ 1,39;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;18986;02/03/2017;R$ 51,04;R$ 0,23;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19003;02/03/2017;R$ 3,99;R$ 0,01;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;18996;02/03/2017;R$ 35,03;R$ 0,16;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19134;02/03/2017;R$ 3,70;R$ 0,01;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19002;02/03/2017;R$ 7,14;R$ 0,03;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19133;02/03/2017;R$ 3,45;R$ 0,01;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19104;02/03/2017;R$ 74,52;R$ 0,34;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19001;02/03/2017;R$ 13,96;R$ 0,06;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19135;02/03/2017;R$ 19,20;R$ 0,08;CALCULADO
79.444.717/0012-35;GLAPINSKI E GLAPINSKI LTDA - F11;19101;02/03/2017;R$ 3,50;R$ 0,01;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);47218;02/03/2017;R$ 203,52;R$ 2,29;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42345;02/03/2017;R$ 8,91;R$ 0,10;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);35667;02/03/2017;R$ 10,12;R$ 0,11;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42379;02/03/2017;R$ 7,98;R$ 0,09;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42307;02/03/2017;R$ 20,52;R$ 0,23;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);45238;02/03/2017;R$ 3,78;R$ 0,04;CALCULADO
15.870.761/0002-52;V TRAIANO LANCHONETE LTDA ME;13332;02/03/2017;R$ 20,00;R$ 0,01;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42372;02/03/2017;R$ 44,58;R$ 0,50;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42188;02/03/2017;R$ 9,30;R$ 0,10;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42358;02/03/2017;R$ 1,15;R$ 0,01;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80127;02/03/2017;R$ 8,50;R$ 0,00;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80017;02/03/2017;R$ 52,00;R$ 0,04;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80132;02/03/2017;R$ 22,00;R$ 0,02;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80044;02/03/2017;R$ 23,00;R$ 0,02;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80037;02/03/2017;R$ 10,00;R$ 0,00;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);45309;02/03/2017;R$ 0,99;R$ 0,01;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33430;02/03/2017;R$ 19,72;R$ 0,24;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);36773;02/03/2017;R$ 17,38;R$ 0,21;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49768;02/03/2017;R$ 24,19;R$ 0,29;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33428;02/03/2017;R$ 21,45;R$ 0,26;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);36903;02/03/2017;R$ 37,15;R$ 0,45;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);41117;02/03/2017;R$ 109,44;R$ 1,34;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49780;02/03/2017;R$ 6,71;R$ 0,08;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);41278;02/03/2017;R$ 61,96;R$ 0,76;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49910;02/03/2017;R$ 20,85;R$ 0,25;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);49792;02/03/2017;R$ 1,40;R$ 0,01;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);45179;02/03/2017;R$ 25,66;R$ 0,31;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);45313;02/03/2017;R$ 36,99;R$ 0,45;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);24443;02/03/2017;R$ 11,94;R$ 0,14;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);33120;02/03/2017;R$ 27,97;R$ 0,34;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);25835;02/03/2017;R$ 14,46;R$ 0,17;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);25947;02/03/2017;R$ 29,21;R$ 0,35;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42250;02/03/2017;R$ 40,08;R$ 0,45;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);50277;02/03/2017;R$ 12,95;R$ 0,14;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);38568;02/03/2017;R$ 29,69;R$ 0,33;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);48255;02/03/2017;R$ 39,37;R$ 0,44;CALCULADO
76.189.406/0042-02;CONDOR SUPER CENTER LTDA;73406;02/03/2017;R$ 79,49;R$ 0,00;CALCULADO
07.597.774/0001-90;Ultrapack Embalagens Ltda - ME;38055;02/03/2017;R$ 5,75;R$ 0,00;NOTA NÃO PARTICIPANTE
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);47275;02/03/2017;R$ 3,59;R$ 0,04;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);24994;02/03/2017;R$ 68,39;R$ 0,77;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);50235;02/03/2017;R$ 33,71;R$ 0,38;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42375;02/03/2017;R$ 14,61;R$ 0,16;CALCULADO
07.597.774/0001-90;Ultrapack Embalagens Ltda - ME;38167;02/03/2017;R$ 25,65;R$ 0,00;NOTA NÃO PARTICIPANTE
07.597.774/0001-90;Ultrapack Embalagens Ltda - ME;11799;02/03/2017;R$ 37,20;R$ 0,00;NOTA NÃO PARTICIPANTE
07.597.774/0001-90;Ultrapack Embalagens Ltda - ME;38113;02/03/2017;R$ 28,24;R$ 0,00;NOTA NÃO PARTICIPANTE
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);50478;02/03/2017;R$ 17,57;R$ 0,19;CALCULADO
19.314.389/0001-78;OJAIMI E OJAIMI COM. DE REF. LTDA;239;02/03/2017;R$ 56,48;R$ 0,00;CALCULADO
14.785.223/0001-16;RIBAS COMERCIO DE CARNES LTDA ME;13413;02/03/2017;R$ 14,14;R$ 0,29;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80085;02/03/2017;R$ 41,50;R$ 0,03;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42257;02/03/2017;R$ 15,29;R$ 0,17;CALCULADO
80.221.013/0002-00;TOZETTO & CIA LTDA (JC);42356;02/03/2017;R$ 13,38;R$ 0,15;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80030;02/03/2017;R$ 34,00;R$ 0,03;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80119;02/03/2017;R$ 13,50;R$ 0,01;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80018;02/03/2017;R$ 39,00;R$ 0,03;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;80109;02/03/2017;R$ 28,00;R$ 0,02;CALCULADO
80.221.013/0004-72;TOZETTO & CIA LTDA(UV);36613;02/03/2017;R$ 83,23;R$ 0,92;CALCULADO
