CNPJ;ESTABELECIMENTO COMERCIAL;NOTA;DATA DE EMISSÃO;VALOR;CRÉDITO;SITUAÇÃO DO CRÉDITO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);48081;01/04/2017;R$ 27,90;R$ 0,42;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);20371;01/04/2017;R$ 75,19;R$ 1,15;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);40484;01/04/2017;R$ 12,82;R$ 0,19;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);36730;01/04/2017;R$ 3,78;R$ 0,05;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);5497;01/04/2017;R$ 80,03;R$ 1,23;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);35743;01/04/2017;R$ 59,17;R$ 0,40;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);32364;01/04/2017;R$ 23,32;R$ 0,15;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);33786;01/04/2017;R$ 213,61;R$ 1,45;CALCULADO
19.314.389/0001-78;OJAIMI E OJAIMI COM. DE REF. LTDA;450;01/04/2017;R$ 86,90;R$ 0,00;CALCULADO
80.221.013/0005-53;TOZETTO & CIA LTDA(NR);45705;01/04/2017;R$ 114,26;R$ 1,68;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;84500;01/04/2017;R$ 15,00;R$ 0,48;CALCULADO
94.505.559/0002-06;VILMAR ANTONIO COMIN & CIA LTDA;25044;01/04/2017;R$ 11,00;R$ 0,08;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);15348;01/04/2017;R$ 15,77;R$ 0,24;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);47919;01/04/2017;R$ 21,85;R$ 0,33;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);29972;01/04/2017;R$ 13,05;R$ 0,20;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);30004;01/04/2017;R$ 7,50;R$ 0,11;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);52713;01/04/2017;R$ 68,35;R$ 1,05;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);29980;01/04/2017;R$ 2,75;R$ 0,04;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);47890;01/04/2017;R$ 7,37;R$ 0,11;CALCULADO
09.408.933/0001-97;Vivan Carnes - Almv Comercio de Carnes Ltda;5169;01/04/2017;R$ 102,29;R$ 0,00;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);34378;01/04/2017;R$ 19,62;R$ 0,13;CALCULADO
80.221.013/0001-20;TOZETTO & CIA LTDA (VE);36837;01/04/2017;R$ 11,00;R$ 0,07;CALCULADO
15.870.761/0002-52;SUBWAY FRANCISCO BELTRAO;84592;01/04/2017;R$ 48,50;R$ 1,55;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);48059;01/04/2017;R$ 30,45;R$ 0,46;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);57526;01/04/2017;R$ 10,93;R$ 0,16;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);5480;01/04/2017;R$ 8,13;R$ 0,12;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);34231;01/04/2017;R$ 473,27;R$ 7,28;CALCULADO
94.505.559/0002-06;VILMAR ANTONIO COMIN & CIA LTDA;24966;01/04/2017;R$ 1,35;R$ 0,01;CALCULADO
04.795.933/0001-73;M. T. PIANOWSKI CIA LTDA;54074;01/04/2017;R$ 60,00;R$ 0,00;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);52768;01/04/2017;R$ 92,24;R$ 1,41;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);42448;01/04/2017;R$ 27,34;R$ 0,42;CALCULADO
04.795.933/0001-73;M. T. PIANOWSKI CIA LTDA;54081;01/04/2017;R$ 10,00;R$ 0,00;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);47219;01/04/2017;R$ 87,50;R$ 1,34;CALCULADO
78.061.132/0001-10;COMERCIO DE PLASTICOS STOCCO LTDA;121465;01/04/2017;R$ 17,60;R$ 0,64;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);29988;01/04/2017;R$ 13,50;R$ 0,20;CALCULADO
80.221.013/0003-91;TOZETTO & CIA LTDA(OF);42693;01/04/2017;R$ 2,99;R$ 0,04;CALCULADO
94.505.559/0002-06;VILMAR ANTONIO COMIN & CIA LTDA;25032;01/04/2017;R$ 21,00;R$ 0,15;CALCULADO
17.032.246/0001-48;FARMACIA P B 2 DE PONTA GROSSA LTDA;24675;01/04/2017;R$ 75,02;R$ 0,00;CALCULADO
